image_path,generated_text,ground_truths
243.jpg,"nan nan nan nan nan beach, nan nan, nan nan beach, nan nan beach, nan nan beach, nan nan beach, nan nan","['On an overcast day, a man and a woman walk by the seaside with a large, lanky dog. A jogger passes them in the opposite direction. The dog sniffs the ground.', 'A nearly-empty beach beside a sea. A couple wears jackets as they stroll with their large Great Dane. A male runner jogs past. The dog sniffs the sand.', 'In the distance, a couple walk their dog along an urban beach. They pass a jogger running in the opposite direction. The dog sniffs at something on the sand.', 'A road running along by the sea. A couple walk their dog on the flat beach and a jogger runs past. The sky above is pale and dappled with light grey clouds.', 'A sandy promenade at the seaside in pale dawn light. A man in a tracksuit jogs past a couple with a large dog, which sniffs at something in the sand.', 'Daytime. A pale grey seafront. A couple walk their dog along a sandy promenade, passing a jogger going in the opposite direction.', ""It's an early grey morning at an urban seaside. A couple dressed in warm clothes walk their great dane as a lone jogger rambles past. The sidewalk in the foreground that runs alongside a road is vacant."", 'A beach under the pale sunshine. A couple walk by with a big black dog. A jogger runs the other way. The dog sniffs the sand.', 'A photo in sombre greys with some colour highlights. Day. A couple stroll along a virtually deserted beach with a large dog lolloping behind them. A man jogs past.', 'Under a partly-cloudy sky, a wide and sandy beachfront and parking area. A jogger runs from the right, while at left a couple walks a large dog.']"
243.jpg,"nan nan nan nan nan beach, nan nan, nan nan beach, nan nan beach, nan nan beach, nan nan beach, nan nan","['On an overcast day, a man and a woman walk by the seaside with a large, lanky dog. A jogger passes them in the opposite direction. The dog sniffs the ground.', 'A nearly-empty beach beside a sea. A couple wears jackets as they stroll with their large Great Dane. A male runner jogs past. The dog sniffs the sand.', 'In the distance, a couple walk their dog along an urban beach. They pass a jogger running in the opposite direction. The dog sniffs at something on the sand.', 'A road running along by the sea. A couple walk their dog on the flat beach and a jogger runs past. The sky above is pale and dappled with light grey clouds.', 'A sandy promenade at the seaside in pale dawn light. A man in a tracksuit jogs past a couple with a large dog, which sniffs at something in the sand.', 'Daytime. A pale grey seafront. A couple walk their dog along a sandy promenade, passing a jogger going in the opposite direction.', ""It's an early grey morning at an urban seaside. A couple dressed in warm clothes walk their great dane as a lone jogger rambles past. The sidewalk in the foreground that runs alongside a road is vacant."", 'A beach under the pale sunshine. A couple walk by with a big black dog. A jogger runs the other way. The dog sniffs the sand.', 'A photo in sombre greys with some colour highlights. Day. A couple stroll along a virtually deserted beach with a large dog lolloping behind them. A man jogs past.', 'Under a partly-cloudy sky, a wide and sandy beachfront and parking area. A jogger runs from the right, while at left a couple walks a large dog.']"
243.jpg,"nan nan nan nan nan beach, nan nan, nan nan beach, nan nan beach, nan nan beach, nan nan beach, nan nan","['On an overcast day, a man and a woman walk by the seaside with a large, lanky dog. A jogger passes them in the opposite direction. The dog sniffs the ground.', 'A nearly-empty beach beside a sea. A couple wears jackets as they stroll with their large Great Dane. A male runner jogs past. The dog sniffs the sand.', 'In the distance, a couple walk their dog along an urban beach. They pass a jogger running in the opposite direction. The dog sniffs at something on the sand.', 'A road running along by the sea. A couple walk their dog on the flat beach and a jogger runs past. The sky above is pale and dappled with light grey clouds.', 'A sandy promenade at the seaside in pale dawn light. A man in a tracksuit jogs past a couple with a large dog, which sniffs at something in the sand.', 'Daytime. A pale grey seafront. A couple walk their dog along a sandy promenade, passing a jogger going in the opposite direction.', ""It's an early grey morning at an urban seaside. A couple dressed in warm clothes walk their great dane as a lone jogger rambles past. The sidewalk in the foreground that runs alongside a road is vacant."", 'A beach under the pale sunshine. A couple walk by with a big black dog. A jogger runs the other way. The dog sniffs the sand.', 'A photo in sombre greys with some colour highlights. Day. A couple stroll along a virtually deserted beach with a large dog lolloping behind them. A man jogs past.', 'Under a partly-cloudy sky, a wide and sandy beachfront and parking area. A jogger runs from the right, while at left a couple walks a large dog.']"
243.jpg,"nan nan nan nan nan beach, nan nan, nan nan beach, nan nan beach, nan nan beach, nan nan beach, nan nan","['On an overcast day, a man and a woman walk by the seaside with a large, lanky dog. A jogger passes them in the opposite direction. The dog sniffs the ground.', 'A nearly-empty beach beside a sea. A couple wears jackets as they stroll with their large Great Dane. A male runner jogs past. The dog sniffs the sand.', 'In the distance, a couple walk their dog along an urban beach. They pass a jogger running in the opposite direction. The dog sniffs at something on the sand.', 'A road running along by the sea. A couple walk their dog on the flat beach and a jogger runs past. The sky above is pale and dappled with light grey clouds.', 'A sandy promenade at the seaside in pale dawn light. A man in a tracksuit jogs past a couple with a large dog, which sniffs at something in the sand.', 'Daytime. A pale grey seafront. A couple walk their dog along a sandy promenade, passing a jogger going in the opposite direction.', ""It's an early grey morning at an urban seaside. A couple dressed in warm clothes walk their great dane as a lone jogger rambles past. The sidewalk in the foreground that runs alongside a road is vacant."", 'A beach under the pale sunshine. A couple walk by with a big black dog. A jogger runs the other way. The dog sniffs the sand.', 'A photo in sombre greys with some colour highlights. Day. A couple stroll along a virtually deserted beach with a large dog lolloping behind them. A man jogs past.', 'Under a partly-cloudy sky, a wide and sandy beachfront and parking area. A jogger runs from the right, while at left a couple walks a large dog.']"
243.jpg,"nan nan nan nan nan beach, nan nan, nan nan beach, nan nan beach, nan nan beach, nan nan beach, nan nan","['On an overcast day, a man and a woman walk by the seaside with a large, lanky dog. A jogger passes them in the opposite direction. The dog sniffs the ground.', 'A nearly-empty beach beside a sea. A couple wears jackets as they stroll with their large Great Dane. A male runner jogs past. The dog sniffs the sand.', 'In the distance, a couple walk their dog along an urban beach. They pass a jogger running in the opposite direction. The dog sniffs at something on the sand.', 'A road running along by the sea. A couple walk their dog on the flat beach and a jogger runs past. The sky above is pale and dappled with light grey clouds.', 'A sandy promenade at the seaside in pale dawn light. A man in a tracksuit jogs past a couple with a large dog, which sniffs at something in the sand.', 'Daytime. A pale grey seafront. A couple walk their dog along a sandy promenade, passing a jogger going in the opposite direction.', ""It's an early grey morning at an urban seaside. A couple dressed in warm clothes walk their great dane as a lone jogger rambles past. The sidewalk in the foreground that runs alongside a road is vacant."", 'A beach under the pale sunshine. A couple walk by with a big black dog. A jogger runs the other way. The dog sniffs the sand.', 'A photo in sombre greys with some colour highlights. Day. A couple stroll along a virtually deserted beach with a large dog lolloping behind them. A man jogs past.', 'Under a partly-cloudy sky, a wide and sandy beachfront and parking area. A jogger runs from the right, while at left a couple walks a large dog.']"
243.jpg,"nan nan nan nan nan beach, nan nan, nan nan beach, nan nan beach, nan nan beach, nan nan beach, nan nan","['On an overcast day, a man and a woman walk by the seaside with a large, lanky dog. A jogger passes them in the opposite direction. The dog sniffs the ground.', 'A nearly-empty beach beside a sea. A couple wears jackets as they stroll with their large Great Dane. A male runner jogs past. The dog sniffs the sand.', 'In the distance, a couple walk their dog along an urban beach. They pass a jogger running in the opposite direction. The dog sniffs at something on the sand.', 'A road running along by the sea. A couple walk their dog on the flat beach and a jogger runs past. The sky above is pale and dappled with light grey clouds.', 'A sandy promenade at the seaside in pale dawn light. A man in a tracksuit jogs past a couple with a large dog, which sniffs at something in the sand.', 'Daytime. A pale grey seafront. A couple walk their dog along a sandy promenade, passing a jogger going in the opposite direction.', ""It's an early grey morning at an urban seaside. A couple dressed in warm clothes walk their great dane as a lone jogger rambles past. The sidewalk in the foreground that runs alongside a road is vacant."", 'A beach under the pale sunshine. A couple walk by with a big black dog. A jogger runs the other way. The dog sniffs the sand.', 'A photo in sombre greys with some colour highlights. Day. A couple stroll along a virtually deserted beach with a large dog lolloping behind them. A man jogs past.', 'Under a partly-cloudy sky, a wide and sandy beachfront and parking area. A jogger runs from the right, while at left a couple walks a large dog.']"
243.jpg,"nan nan nan nan nan beach, nan nan, nan nan beach, nan nan beach, nan nan beach, nan nan beach, nan nan","['On an overcast day, a man and a woman walk by the seaside with a large, lanky dog. A jogger passes them in the opposite direction. The dog sniffs the ground.', 'A nearly-empty beach beside a sea. A couple wears jackets as they stroll with their large Great Dane. A male runner jogs past. The dog sniffs the sand.', 'In the distance, a couple walk their dog along an urban beach. They pass a jogger running in the opposite direction. The dog sniffs at something on the sand.', 'A road running along by the sea. A couple walk their dog on the flat beach and a jogger runs past. The sky above is pale and dappled with light grey clouds.', 'A sandy promenade at the seaside in pale dawn light. A man in a tracksuit jogs past a couple with a large dog, which sniffs at something in the sand.', 'Daytime. A pale grey seafront. A couple walk their dog along a sandy promenade, passing a jogger going in the opposite direction.', ""It's an early grey morning at an urban seaside. A couple dressed in warm clothes walk their great dane as a lone jogger rambles past. The sidewalk in the foreground that runs alongside a road is vacant."", 'A beach under the pale sunshine. A couple walk by with a big black dog. A jogger runs the other way. The dog sniffs the sand.', 'A photo in sombre greys with some colour highlights. Day. A couple stroll along a virtually deserted beach with a large dog lolloping behind them. A man jogs past.', 'Under a partly-cloudy sky, a wide and sandy beachfront and parking area. A jogger runs from the right, while at left a couple walks a large dog.']"
243.jpg,"nan nan nan nan nan beach, nan nan, nan nan beach, nan nan beach, nan nan beach, nan nan beach, nan nan","['On an overcast day, a man and a woman walk by the seaside with a large, lanky dog. A jogger passes them in the opposite direction. The dog sniffs the ground.', 'A nearly-empty beach beside a sea. A couple wears jackets as they stroll with their large Great Dane. A male runner jogs past. The dog sniffs the sand.', 'In the distance, a couple walk their dog along an urban beach. They pass a jogger running in the opposite direction. The dog sniffs at something on the sand.', 'A road running along by the sea. A couple walk their dog on the flat beach and a jogger runs past. The sky above is pale and dappled with light grey clouds.', 'A sandy promenade at the seaside in pale dawn light. A man in a tracksuit jogs past a couple with a large dog, which sniffs at something in the sand.', 'Daytime. A pale grey seafront. A couple walk their dog along a sandy promenade, passing a jogger going in the opposite direction.', ""It's an early grey morning at an urban seaside. A couple dressed in warm clothes walk their great dane as a lone jogger rambles past. The sidewalk in the foreground that runs alongside a road is vacant."", 'A beach under the pale sunshine. A couple walk by with a big black dog. A jogger runs the other way. The dog sniffs the sand.', 'A photo in sombre greys with some colour highlights. Day. A couple stroll along a virtually deserted beach with a large dog lolloping behind them. A man jogs past.', 'Under a partly-cloudy sky, a wide and sandy beachfront and parking area. A jogger runs from the right, while at left a couple walks a large dog.']"
243.jpg,"nan nan nan nan nan beach, nan nan, nan nan beach, nan nan beach, nan nan beach, nan nan beach, nan nan","['On an overcast day, a man and a woman walk by the seaside with a large, lanky dog. A jogger passes them in the opposite direction. The dog sniffs the ground.', 'A nearly-empty beach beside a sea. A couple wears jackets as they stroll with their large Great Dane. A male runner jogs past. The dog sniffs the sand.', 'In the distance, a couple walk their dog along an urban beach. They pass a jogger running in the opposite direction. The dog sniffs at something on the sand.', 'A road running along by the sea. A couple walk their dog on the flat beach and a jogger runs past. The sky above is pale and dappled with light grey clouds.', 'A sandy promenade at the seaside in pale dawn light. A man in a tracksuit jogs past a couple with a large dog, which sniffs at something in the sand.', 'Daytime. A pale grey seafront. A couple walk their dog along a sandy promenade, passing a jogger going in the opposite direction.', ""It's an early grey morning at an urban seaside. A couple dressed in warm clothes walk their great dane as a lone jogger rambles past. The sidewalk in the foreground that runs alongside a road is vacant."", 'A beach under the pale sunshine. A couple walk by with a big black dog. A jogger runs the other way. The dog sniffs the sand.', 'A photo in sombre greys with some colour highlights. Day. A couple stroll along a virtually deserted beach with a large dog lolloping behind them. A man jogs past.', 'Under a partly-cloudy sky, a wide and sandy beachfront and parking area. A jogger runs from the right, while at left a couple walks a large dog.']"
243.jpg,"nan nan nan nan nan beach, nan nan, nan nan beach, nan nan beach, nan nan beach, nan nan beach, nan nan","['On an overcast day, a man and a woman walk by the seaside with a large, lanky dog. A jogger passes them in the opposite direction. The dog sniffs the ground.', 'A nearly-empty beach beside a sea. A couple wears jackets as they stroll with their large Great Dane. A male runner jogs past. The dog sniffs the sand.', 'In the distance, a couple walk their dog along an urban beach. They pass a jogger running in the opposite direction. The dog sniffs at something on the sand.', 'A road running along by the sea. A couple walk their dog on the flat beach and a jogger runs past. The sky above is pale and dappled with light grey clouds.', 'A sandy promenade at the seaside in pale dawn light. A man in a tracksuit jogs past a couple with a large dog, which sniffs at something in the sand.', 'Daytime. A pale grey seafront. A couple walk their dog along a sandy promenade, passing a jogger going in the opposite direction.', ""It's an early grey morning at an urban seaside. A couple dressed in warm clothes walk their great dane as a lone jogger rambles past. The sidewalk in the foreground that runs alongside a road is vacant."", 'A beach under the pale sunshine. A couple walk by with a big black dog. A jogger runs the other way. The dog sniffs the sand.', 'A photo in sombre greys with some colour highlights. Day. A couple stroll along a virtually deserted beach with a large dog lolloping behind them. A man jogs past.', 'Under a partly-cloudy sky, a wide and sandy beachfront and parking area. A jogger runs from the right, while at left a couple walks a large dog.']"
